material_id,material_code,description,material_group,material_type,base_unit,criticality,certification_required,active
MAT-001,AL-2024-T3-SHEET,Aluminio 2024 T3 chapa,ALUMINIUM,RAW_MATERIAL,KG,CRITICAL,CoC,True
MAT-002,AL-7075-T6-PLATE,Aluminio 7075 T6 placa,ALUMINIUM,RAW_MATERIAL,KG,CRITICAL,CoC,True
MAT-003,AL-6082-T6-BAR,Aluminio 6082 T6 barra,ALUMINIUM,RAW_MATERIAL,KG,HIGH,CoC,True
MAT-004,AL-6061-T6-PLATE,Aluminio 6061 T6 placa,ALUMINIUM,RAW_MATERIAL,KG,HIGH,CoC,True
MAT-005,STEEL-S275JR,Acero S275JR,STEEL,RAW_MATERIAL,KG,MEDIUM,EN10204_3_1,True
MAT-006,STEEL-42CRMO4,Acero 42CrMo4,STEEL,RAW_MATERIAL,KG,HIGH,EN10204_3_1,True
MAT-007,STEEL-C45,Acero C45,STEEL,RAW_MATERIAL,KG,MEDIUM,EN10204_3_1,True
MAT-008,INOX-AISI304,Acero inoxidable AISI 304,STAINLESS_STEEL,RAW_MATERIAL,KG,MEDIUM,EN10204_3_1,True
MAT-009,INOX-AISI316L,Acero inoxidable AISI 316L,STAINLESS_STEEL,RAW_MATERIAL,KG,HIGH,EN10204_3_1,True
MAT-010,CU-ETP,Cobre electrolítico ETP,COPPER,RAW_MATERIAL,KG,MEDIUM,CoC,True
MAT-011,BRASS-CW614N,Latón CW614N,COPPER_ALLOY,RAW_MATERIAL,KG,MEDIUM,CoC,True
MAT-012,POM-C-NAT,POM-C natural,ENGINEERING_PLASTIC,RAW_MATERIAL,KG,LOW,None,True
MAT-013,PA6-GF30,Poliamida PA6 GF30,ENGINEERING_PLASTIC,RAW_MATERIAL,KG,MEDIUM,None,True
MAT-014,FAST-M6-AERO,Tornillo M6 especificación aero,FASTENERS,COMPONENT,EA,CRITICAL,CoC,True
MAT-015,FAST-M8-AERO,Tornillo M8 especificación aero,FASTENERS,COMPONENT,EA,CRITICAL,CoC,True
MAT-016,RIVET-4MM-AERO,Remache 4 mm aero,FASTENERS,COMPONENT,EA,HIGH,CoC,True
MAT-017,BEARING-6205,Rodamiento 6205,BEARINGS,COMPONENT,EA,MEDIUM,CoC,True
MAT-018,BEARING-6004,Rodamiento 6004,BEARINGS,COMPONENT,EA,LOW,CoC,True
MAT-019,SEAL-25MM,Retén industrial 25 mm,SEALS,COMPONENT,EA,LOW,None,True
MAT-020,O-RING-VITON-32,Junta Viton 32 mm,SEALS,COMPONENT,EA,MEDIUM,None,True
MAT-021,CUT-FLUID-01,Fluido de corte semisintético,CONSUMABLES,CONSUMABLE,L,MEDIUM,SDS,True
MAT-022,CUT-FLUID-02,Aceite de corte entero,CONSUMABLES,CONSUMABLE,L,LOW,SDS,True
MAT-023,ADHESIVE-STRUCT-01,Adhesivo estructural industrial,CHEMICALS,CONSUMABLE,EA,HIGH,SDS,True
MAT-024,CLEANER-IND-01,Limpiador industrial,CHEMICALS,CONSUMABLE,L,LOW,SDS,True
MAT-025,COOLANT-CNC-01,Refrigerante CNC,CONSUMABLES,CONSUMABLE,L,MEDIUM,SDS,True
MAT-026,TOOL-ENDMILL-10,Fresa metal duro 10 mm,TOOLING,CONSUMABLE,EA,MEDIUM,None,True
MAT-027,TOOL-ENDMILL-16,Fresa metal duro 16 mm,TOOLING,CONSUMABLE,EA,MEDIUM,None,True
MAT-028,TOOL-DRILL-8,Broca metal duro 8 mm,TOOLING,CONSUMABLE,EA,LOW,None,True
MAT-029,INSERT-CNMG,Plaquita CNMG,TOOLING,CONSUMABLE,EA,MEDIUM,None,True
MAT-030,INSERT-APKT,Plaquita APKT,TOOLING,CONSUMABLE,EA,MEDIUM,None,True
MAT-031,PACK-FOAM-01,Espuma técnica de embalaje,PACKAGING,CONSUMABLE,EA,LOW,None,True
MAT-032,PACK-BOX-L,Caja industrial grande,PACKAGING,CONSUMABLE,EA,LOW,None,True
MAT-033,PALLET-EUR,Palé EUR,PACKAGING,CONSUMABLE,EA,LOW,None,True
MAT-034,LABEL-TRACE,Etiqueta de trazabilidad,PACKAGING,CONSUMABLE,EA,HIGH,None,True
MAT-035,PPE-GLOVE-CUT,Guante anticorte,PPE,CONSUMABLE,PAIR,LOW,None,True
